V4-B ABSTENTION / UNCERTAINTY EXPERIMENT
============================================================

Baseline accuracy: 92.33%

Threshold   Coverage    Abstain     Accuracy    
------------------------------------------------
0.50        100.00      0           92.33       
0.55        98.55       17          92.74       
0.60        97.02       35          93.24       
0.65        95.14       57          93.91       
0.70        93.44       77          94.62       
0.75        91.14       104         95.23       
0.80        88.93       130         95.79       
0.85        85.43       171         96.91       
0.90        80.75       226         97.68       
0.95        74.11       304         98.16       
